hsa	Homo sapiens (human)
bcoa	Bacillus coagulans DSM 1 = ATCC 7050
bjs	Bacillus sp. JS
baci	Bacillus sp. 1NLA3E
bif	Bacillus infantis
ble	Bacillus lehensis
bmet	Bacillus methanolicus
gst	Bacillus sp. X1(2014)
bacw	Bacillus sp. WP8
bacp	Bacillus sp. Pc3
bacb	Bacillus sp. BH072
bby	Bacillus bombysepticus
baco	Bacillus sp. OxB-1
bacy	Bacillus sp. YP1
bacl	Bacillus sp. BS34A
balm	Bacillus sp. LM 4-2
beo	Bacillus endophyticus
bsm	Bacillus smithii
oih	Oceanobacillus iheyensis
gka	Geobacillus kaustophilus
gtn	Geobacillus thermodenitrificans
gth	Geobacillus thermoglucosidasius
gte	Geobacillus thermoleovorans
gwc	Geobacillus sp. WCH70
gyc	Geobacillus sp. Y412MC61
gya	Geobacillus sp. Y412MC52
gct	Geobacillus sp. C56-T3
gmc	Geobacillus sp. Y4.1MC1
ggh	Geobacillus sp. GHH01
gjf	Geobacillus sp. JF8
gea	Geobacillus sp. 12AMOR1
gel	Geobacillus sp. LC300
gse	Geobacillus stearothermophilus
afl	Anoxybacillus flavithermus
agn	Anoxybacillus gonensis
axl	Amphibacillus xylanus
lsp	Lysinibacillus sphaericus
lgy	Lysinibacillus varians
lfu	Lysinibacillus fusiformis
hhd	Halobacillus halophilus
tap	Terribacillus aidingensis
vir	Virgibacillus sp. SK37
bse	Bacillus selenitireducens
sau	Staphylococcus aureus subsp. aureus N315 (MRSA/VSSA)
sav	Staphylococcus aureus subsp. aureus Mu50 (MRSA/VISA)
saw	Staphylococcus aureus subsp. aureus Mu3 (MRSA/hetero-VISA)
sah	Staphylococcus aureus subsp. aureus JH1 (MRSA/VSSA)
saj	Staphylococcus aureus subsp. aureus JH9 (MRSA/VRSA)
sam	Staphylococcus aureus subsp. aureus MW2 (CA-MRSA)
sas	Staphylococcus aureus subsp. aureus MSSA476 (MSSA)
sar	Staphylococcus aureus subsp. aureus MRSA252 (MRSA)
sac	Staphylococcus aureus subsp. aureus COL (MRSA)
sax	Staphylococcus aureus subsp. aureus USA300_TCH1516 (CA-MSSA)
saa	Staphylococcus aureus subsp. aureus USA300_FPR3757 (CA-MRSA)
sao	Staphylococcus aureus subsp. aureus NCTC8325
sae	Staphylococcus aureus subsp. aureus Newman
sad	Staphylococcus aureus subsp. aureus ED98
suu	Staphylococcus aureus subsp. aureus M013 (CA-MRSA)
suv	Staphylococcus aureus subsp. aureus VC40
sue	Staphylococcus aureus subsp. aureus ED133
suj	Staphylococcus aureus subsp. aureus JKD6159 (CA-MRSA)
suk	Staphylococcus aureus subsp. aureus JKD6008 (MRSA/VISA)
suc	Staphylococcus aureus subsp. aureus ECT-R 2
sut	Staphylococcus aureus subsp. aureus T0131 (MRSA)
suq	Staphylococcus aureus subsp. aureus TCH60
suz	Staphylococcus aureus subsp. aureus 11819-97 (CA-MRSA)
sud	Staphylococcus aureus subsp. aureus 71193
sux	Staphylococcus aureus subsp. aureus HO 5096 0412
suw	Staphylococcus aureus subsp. aureus TW20 (MRSA)
sug	Staphylococcus aureus subsp. aureus ST398 (MRSA)
suf	Staphylococcus aureus subsp. aureus LGA251
saua	Staphylococcus aureus subsp. aureus 55/2053
saue	Staphylococcus aureus subsp. aureus 6850 (MSSA)
saun	Staphylococcus aureus subsp. aureus CN1 (CA-MRSA)
saus	Staphylococcus aureus subsp. aureus SA40 (CA-MRSA)
sauu	Staphylococcus aureus subsp. aureus SA957 (CA-MRSA)
saug	Staphylococcus aureus subsp. aureus SA268 (CA-MRSA)
sauz	Staphylococcus aureus subsp. aureus Z172 (MRSA/VISA)
saut	Staphylococcus aureus subsp. aureus ST228/10388 (MRSA)
sauj	Staphylococcus aureus subsp. aureus ST228/10497 (MRSA)
sauk	Staphylococcus aureus subsp. aureus ST228/15532 (MRSA)
sauq	Staphylococcus aureus subsp. aureus ST228/16035 (MRSA)
sauv	Staphylococcus aureus subsp. aureus ST228/18412 (MRSA)
sauw	Staphylococcus aureus subsp. aureus ST228/16125 (MRSA)
saux	Staphylococcus aureus subsp. aureus ST228/18341 (MRSA)
sauy	Staphylococcus aureus subsp. aureus ST228/18583 (MRSA)
sab	Staphylococcus aureus RF122
suy	Staphylococcus aureus 04-02981
saub	Staphylococcus aureus 08BA02176
saum	Staphylococcus aureus M1
sauc	Staphylococcus aureus CA-347
saur	Staphylococcus aureus Bmb9393
saui	Staphylococcus aureus USA300-ISMMS1
saud	Staphylococcus aureus 502A
sauf	Staphylococcus aureus NRS 100
suh	Staphylococcus argenteus
sep	Staphylococcus epidermidis ATCC 12228
ser	Staphylococcus epidermidis RP62A
sepp	Staphylococcus epidermidis PM221
seps	Staphylococcus epidermidis SEI
sha	Staphylococcus haemolyticus JCSC1435
shh	Staphylococcus haemolyticus Sh29/312/L2
ssp	Staphylococcus saprophyticus
sca	Staphylococcus carnosus
slg	Staphylococcus lugdunensis HKU09-01
sln	Staphylococcus lugdunensis N920143
ssd	Staphylococcus pseudintermedius HKU10-03
sdt	Staphylococcus pseudintermedius ED99
swa	Staphylococcus warneri
spas	Staphylococcus pasteuri
sxy	Staphylococcus xylosus HKUOPL8
sxl	Staphylococcus xylosus SMQ-121
sxo	Staphylococcus xylosus C2a
shu	Staphylococcus hyicus
scap	Staphylococcus capitis
ssch	Staphylococcus schleiferi
mcl	Macrococcus caseolyticus
shv	Salinicoccus halodurans
lmo	Listeria monocytogenes EGD-e
lmf	Listeria monocytogenes F2365
lmh	Listeria monocytogenes HCC23
lmc	Listeria monocytogenes CLIP 80459
lmn	Listeria monocytogenes 08-5578
lmy	Listeria monocytogenes 08-5923
lmt	Listeria monocytogenes 10403S
lmg	Listeria monocytogenes FSL R2-561
lms	Listeria monocytogenes Finland 1998
lmj	Listeria monocytogenes J0161
lmq	Listeria monocytogenes M7
lml	Listeria monocytogenes L99
lmp	Listeria monocytogenes 07PF0776
lmw	Listeria monocytogenes SLCC2755
lmx	Listeria monocytogenes SLCC2372
lmz	Listeria monocytogenes serotype 7 SLCC2482
lmon	Listeria monocytogenes SLCC2376
lmoc	Listeria monocytogenes SLCC5850
lmos	Listeria monocytogenes SLCC7179
lmoo	Listeria monocytogenes SLCC2378
lmoy	Listeria monocytogenes SLCC2479
lmot	Listeria monocytogenes SLCC2540
lmoa	Listeria monocytogenes ATCC 19117
lmol	Listeria monocytogenes L312
lmog	Listeria monocytogenes serotype 4b LL195
lmoe	Listeria monocytogenes La111
lmob	Listeria monocytogenes N53-1
lmoj	Listeria monocytogenes J1-220
lmoz	Listeria monocytogenes J1816
lmod	Listeria monocytogenes EGD
lmow	Listeria monocytogenes WSLC1001
lmox	Listeria monocytogenes WSLC1042
lmoq	Listeria monocytogenes 6179
lmr	Listeria monocytogenes R479a
lmok	Listeria monocytogenes NE dc2014
lmv	Listeria monocytogenes CFSAN006122
lmom	Listeria monocytogenes Lm60
lin	Listeria innocua
lwe	Listeria welshimeri
lsg	Listeria seeligeri
liv	Listeria ivanovii subsp. ivanovii PAM 55
lii	Listeria ivanovii subsp. ivanovii WSLC 3010
liw	Listeria ivanovii WSLC3009
lia	Listeria ivanovii subsp. londoniensis WSLC 30167
lio	Listeria ivanovii subsp. londoniensis WSLC 30151
esi	Exiguobacterium sibiricum
eat	Exiguobacterium sp. AT1b
ean	Exiguobacterium antarcticum
exm	Exiguobacterium sp. MH3
bbe	Brevibacillus brevis
blr	Brevibacillus laterosporus
pjd	Paenibacillus sp. JDR-2
gym	Paenibacillus sp. Y412MC10
ppy	Paenibacillus polymyxa E681
ppm	Paenibacillus polymyxa SC2
ppo	Paenibacillus polymyxa M1
ppol	Paenibacillus polymyxa CR1
ppq	Paenibacillus polymyxa SQR-21
ppoy	Paenibacillus polymyxa Sb3-1
pms	Paenibacillus mucilaginosus KNP414
pmq	Paenibacillus mucilaginosus 3016
pmw	Paenibacillus mucilaginosus K02
pta	Paenibacillus terrae
plv	Paenibacillus larvae
psab	Paenibacillus sabinae
pdu	Paenibacillus durus
pbd	Paenibacillus borealis
pgm	Paenibacillus graminis
pod	Paenibacillus odorifer
paen	Paenibacillus sp. FSL P4-0081
paef	Paenibacillus sp. FSL R5-0345
paeq	Paenibacillus sp. FSL R5-0912
pste	Paenibacillus stellifer
paea	Paenibacillus sp. FSL R7-0273
paee	Paenibacillus sp. FSL R7-0331
paeh	Paenibacillus sp. FSL H7-0357
paej	Paenibacillus sp. FSL H7-0737
pbj	Paenibacillus beijingensis
pih	Paenibacillus sp. IHBB 10380
pri	Paenibacillus riograndensis
ppeo	Paenibacillus peoriae
tco	Thermobacillus composti
aac	Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446
aad	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
bts	Kyrpidia tusciae
siv	Solibacillus silvestris
pln	Planococcus sp. PAMC 21323
jeo	Jeotgalibacillus sp. D5
lla	Lactococcus lactis subsp. lactis Il1403
llk	Lactococcus lactis subsp. lactis KF147
llt	Lactococcus lactis subsp. lactis CV56
lls	Lactococcus lactis subsp. lactis IO-1
lld	Lactococcus lactis subsp. lactis KLDS 4.0325
llx	Lactococcus lactis subsp. lactis NCDO 2118
llc	Lactococcus lactis subsp. cremoris SK11
llm	Lactococcus lactis subsp. cremoris MG1363
llr	Lactococcus lactis subsp. cremoris A76
lln	Lactococcus lactis subsp. cremoris NZ9000
lli	Lactococcus lactis subsp. cremoris UC509.9
llw	Lactococcus lactis subsp. cremoris KW2
llj	Lactococcus lactis AI06
lgr	Lactococcus garvieae ATCC 49156
lgv	Lactococcus garvieae Lg2
lpk	Lactococcus piscium
spy	Streptococcus pyogenes SF370 (serotype M1)
spz	Streptococcus pyogenes MGAS5005 (serotype M1)
spym	Streptococcus pyogenes M1 476 (serotype M1)
spm	Streptococcus pyogenes MGAS8232 (serotype M18)
spg	Streptococcus pyogenes MGAS315 (serotype M3)
sps	Streptococcus pyogenes SSI-1 (serotype M3)
sph	Streptococcus pyogenes MGAS10270 (serotype M2)
spi	Streptococcus pyogenes MGAS10750 (serotype M4)
spj	Streptococcus pyogenes MGAS2096 (serotype M12)
spk	Streptococcus pyogenes MGAS9429 (serotype M12)
spf	Streptococcus pyogenes Manfredo (serotype M5)
spa	Streptococcus pyogenes MGAS10394 (serotype M6)
spb	Streptococcus pyogenes MGAS6180 (serotype M28)
stg	Streptococcus pyogenes MGAS15252 (serotype M59)
soz	Streptococcus pyogenes NZ131 (serotype M49)
stz	Streptococcus pyogenes Alab49 (serotype M53)
stx	Streptococcus pyogenes MGAS1882
spya	Streptococcus pyogenes A20
spyh	Streptococcus pyogenes HSC5
spyo	Streptococcus pyogenes STAB901 (serotype M44)
spn	Streptococcus pneumoniae TIGR4 (virulent serotype 4)
spd	Streptococcus pneumoniae D39 (virulent serotype 2)
spr	Streptococcus pneumoniae R6 (avirulent)
spw	Streptococcus pneumoniae CGSP14 (serotype 14)
spx	Streptococcus pneumoniae G54 (serotype 19F)
sne	Streptococcus pneumoniae ATCC 700669 (serotype 23F ST81 lineage)
spv	Streptococcus pneumoniae Hungary19A 6
snm	Streptococcus pneumoniae 70585
sjj	Streptococcus pneumoniae JJA
spp	Streptococcus pneumoniae P1031
snt	Streptococcus pneumoniae Taiwan19F-14
snc	Streptococcus pneumoniae TCH8431/19A
snb	Streptococcus pneumoniae 670-6B
snp	Streptococcus pneumoniae AP200
sni	Streptococcus pneumoniae INV104
snv	Streptococcus pneumoniae INV200
snx	Streptococcus pneumoniae OXC141
snd	Streptococcus pneumoniae ST556
snu	Streptococcus pneumoniae SPNA45
spng	Streptococcus pneumoniae gamPNI0373
spne	Streptococcus pneumoniae SPN034156
spnu	Streptococcus pneumoniae SPN034183
spnm	Streptococcus pneumoniae SPN994038
spno	Streptococcus pneumoniae SPN994039
spnn	Streptococcus pneumoniae A026
sag	Streptococcus agalactiae 2603 (serotype V)
san	Streptococcus agalactiae NEM316 (serotype III)
sak	Streptococcus agalactiae A909 (serotype Ia)
sgc	Streptococcus agalactiae GD201008-001 (serotype Ia)
sags	Streptococcus agalactiae SA20-06
sagl	Streptococcus agalactiae 2-22 (serotype Ib)
sagm	Streptococcus agalactiae 09mas018883
sagi	Streptococcus agalactiae ILRI005
sagr	Streptococcus agalactiae ILRI112
sagp	Streptococcus agalactiae 138P
sagc	Streptococcus agalactiae 138spar
sagt	Streptococcus agalactiae COH1
sage	Streptococcus agalactiae NGBS061
sagg	Streptococcus agalactiae NGBS572
sagn	Streptococcus agalactiae CNCTC 10/84
smu	Streptococcus mutans UA159
smc	Streptococcus mutans NN2025
smj	Streptococcus mutans LJ23
smut	Streptococcus mutans GS-5
smua	Streptococcus mutans UA159-FR
stc	Streptococcus thermophilus CNRZ1066
stl	Streptococcus thermophilus LMG18311
ste	Streptococcus thermophilus LMD-9
stn	Streptococcus thermophilus ND03
stu	Streptococcus thermophilus JIM 8232
stw	Streptococcus thermophilus MN-ZLW-002
sthe	Streptococcus thermophilus ASCC 1275
ssa	Streptococcus sanguinis
ssb	Streptococcus suis BM407
ssu	Streptococcus suis 05ZYH33
ssv	Streptococcus suis 98HAH33
ssi	Streptococcus suis P1/7
sss	Streptococcus suis SC84
sst	Streptococcus suis ST3
ssf	Streptococcus suis A7
ssk	Streptococcus suis D12
ssq	Streptococcus suis D9
ssw	Streptococcus suis GZ1
sui	Streptococcus suis JS14
suo	Streptococcus suis SS12
srp	Streptococcus suis ST1
sup	Streptococcus suis S735
ssus	Streptococcus suis SC070731
ssut	Streptococcus suis TL13
ssui	Streptococcus suis T15
ssuy	Streptococcus suis YB51
sgo	Streptococcus gordonii
seq	Streptococcus equi subsp. zooepidemicus H70
sez	Streptococcus equi subsp. zooepidemicus MGCS10565
sezo	Streptococcus equi subsp. zooepidemicus ATCC 35246
sequ	Streptococcus equi subsp. zooepidemicus CY
seu	Streptococcus equi subsp. equi 4047
sub	Streptococcus uberis
sds	Streptococcus dysgalactiae subsp. equisimilis GGS_124
sdg	Streptococcus dysgalactiae subsp. equisimilis ATCC 12394
sda	Streptococcus dysgalactiae subsp. equisimilis RE378
sdc	Streptococcus dysgalactiae subsp. equisimilis AC-2713
sdq	Streptococcus dysgalactiae subsp. equisimilis 167
sga	Streptococcus gallolyticus UCN34
sgg	Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069
sgt	Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
smb	Streptococcus mitis
sor	Streptococcus oralis
stk	Streptococcus parauberis
stb	Streptococcus pasteurianus
scp	Streptococcus parasanguinis ATCC 15912
scf	Streptococcus parasanguinis FW213
ssr	Streptococcus salivarius CCHSS3
stf	Streptococcus salivarius 57.I
stj	Streptococcus salivarius JIM8777
strs	Streptococcus salivarius NCTC 8618
std	Streptococcus pseudopneumoniae
smn	Streptococcus macedonicus
sif	Streptococcus infantarius
sie	Streptococcus intermedius JTH08
sib	Streptococcus intermedius B196
siu	Streptococcus intermedius C270
sang	Streptococcus anginosus C1051
sanc	Streptococcus anginosus C238
sans	Streptococcus anginosus SA1
scg	Streptococcus constellatus subsp. pharyngis C1050
scon	Streptococcus constellatus subsp. pharyngis C232
scos	Streptococcus constellatus subsp. pharyngis C818
soi	Streptococcus oligofermentans
sik	Streptococcus iniae SF1
siq	Streptococcus iniae ISET0901
sio	Streptococcus iniae ISNO
siz	Streptococcus iniae SFST01-82
slu	Streptococcus lutetiensis
sig	Streptococcus sp. I-G2
sip	Streptococcus sp. I-P16
stv	Streptococcus sp. VT 162
lpl	Lactobacillus plantarum WCFS1
lpj	Lactobacillus plantarum JDM1
lpt	Lactobacillus plantarum ZJ316
lps	Lactobacillus plantarum subsp. plantarum ST-III
lpr	Lactobacillus plantarum subsp. plantarum P-8
lpz	Lactobacillus plantarum 16
lpb	Lactobacillus plantarum B21
ljo	Lactobacillus johnsonii NCC 533
ljf	Lactobacillus johnsonii FI9785
ljh	Lactobacillus johnsonii DPC 6026
ljn	Lactobacillus johnsonii N6.2
lac	Lactobacillus acidophilus NCFM
lai	Lactobacillus acidophilus 30SC
lad	Lactobacillus acidophilus La-14
laf	Lactobacillus acidophilus FSI4
lsa	Lactobacillus sakei
lsl	Lactobacillus salivarius UCC118
lsi	Lactobacillus salivarius CECT 5713
lsj	Lactobacillus salivarius JCM1046
ldb	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842
lbu	Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365
lde	Lactobacillus delbrueckii subsp. bulgaricus ND02
ldl	Lactobacillus delbrueckii subsp. bulgaricus 2038
lbr	Lactobacillus brevis ATCC 367
lbk	Lactobacillus brevis KB290
lca	Lactobacillus paracasei ATCC 334
lpi	Lactobacillus paracasei subsp. paracasei 8700:2
lpq	Lactobacillus paracasei N1115
lcb	Lactobacillus casei BL23
lcz	Lactobacillus casei Zhang
lcs	Lactobacillus casei BD-II
lce	Lactobacillus casei LC2W
lcw	Lactobacillus casei W56
lcl	Lactobacillus casei LOCK919
lcx	Lactobacillus casei 12A
lga	Lactobacillus gasseri ATCC 33323
lgq	Lactobacillus gasseri 130918
lre	Lactobacillus reuteri DSM 20016
lrf	Lactobacillus reuteri JCM 1112
lru	Lactobacillus reuteri SD2112
lrt	Lactobacillus reuteri I5007
lrr	Lactobacillus reuteri TD1
lhe	Lactobacillus helveticus DPC 4571
lhl	Lactobacillus helveticus H10
lhr	Lactobacillus helveticus R0052
lhv	Lactobacillus helveticus CNRZ32
lhh	Lactobacillus helveticus H9
lhd	Lactobacillus helveticus KLDS1.8701
lfe	Lactobacillus fermentum IFO 3956
lfr	Lactobacillus fermentum CECT 5716
lff	Lactobacillus fermentum F-6
lrh	Lactobacillus rhamnosus GG
lrg	Lactobacillus rhamnosus GG
lrl	Lactobacillus rhamnosus Lc 705
lra	Lactobacillus rhamnosus ATCC 8530
lro	Lactobacillus rhamnosus LOCK900
lrc	Lactobacillus rhamnosus LOCK908
lcr	Lactobacillus crispatus
lam	Lactobacillus amylovorus GRL 1112
lay	Lactobacillus amylovorus GRL1118
lbh	Lactobacillus buchneri NRRL B-30929
lbn	Lactobacillus buchneri CD034
lke	Lactobacillus kefiranofaciens
lrm	Lactobacillus ruminis
lsn	Lactobacillus sanfranciscensis
law	Lactobacillus sp. wkB8
lho	Lactobacillus hokkaidonensis
lmu	Lactobacillus mucosae
lae	Lactobacillus acetotolerans
lgn	Lactobacillus ginsenosidimutans
lko	Lactobacillus koreensis
lhi	Lactobacillus heilongjiangensis
lku	Lactobacillus kunkeei
lgl	Lactobacillus gallinarum
ppe	Pediococcus pentosaceus ATCC 25745
ppen	Pediococcus pentosaceus SL4
pce	Pediococcus claussenii
efa	Enterococcus faecalis V583
efl	Enterococcus faecalis 62
efi	Enterococcus faecalis OG1RF
efd	Enterococcus faecalis D32
efs	Enterococcus faecalis Symbioflor 1
efn	Enterococcus faecalis DENG1
efq	Enterococcus faecalis ATCC 29212
efc	Enterococcus faecium Aus0004
efau	Enterococcus faecium Aus0085
efu	Enterococcus faecium DO
efm	Enterococcus faecium NRRL B-2354
eft	Enterococcus faecium T110
ehr	Enterococcus hirae
ene	Enterococcus sp. 7L76
ecas	Enterococcus casseliflavus
emu	Enterococcus mundtii
edu	Enterococcus durans
mps	Melissococcus plutonius ATCC 35311
mpx	Melissococcus plutonius DAT561
thl	Tetragenococcus halophilus
ooe	Oenococcus oeni
lme	Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
lmm	Leuconostoc mesenteroides subsp. mesenteroides J18
lmk	Leuconostoc mesenteroides KFRI-MG
lci	Leuconostoc citreum
lki	Leuconostoc kimchii
lec	Leuconostoc sp. C2
lcn	Leuconostoc carnosum
lgs	Leuconostoc gelidum subsp. gasicomitatum
lge	Leuconostoc gelidum JB7
wko	Weissella koreensis
wce	Weissella ceti WS08
wct	Weissella ceti WS74
wci	Weissella ceti WS105
wcb	Weissella cibaria
aur	Aerococcus urinae
crn	Carnobacterium sp. 17-4
cml	Carnobacterium maltaromaticum
caw	Carnobacterium inhibens
cac	Clostridium acetobutylicum ATCC 824
cae	Clostridium acetobutylicum DSM 1731
cay	Clostridium acetobutylicum EA 2018
cpe	Clostridium perfringens 13
cpf	Clostridium perfringens ATCC 13124
cpr	Clostridium perfringens SM101
ctc	Clostridium tetani E88
ctet	Clostridium tetani 12124569
cno	Clostridium novyi
cbo	Clostridium botulinum A ATCC 3502
cba	Clostridium botulinum A ATCC 19397
cbh	Clostridium botulinum A Hall
cby	Clostridium botulinum A2
cbl	Clostridium botulinum A3 Loch Maree
cbk	Clostridium botulinum B Eklund 17B (NRP)
cbb	Clostridium botulinum B1 Okra
cbi	Clostridium botulinum Ba4
cbn	Clostridium botulinum BKT015925
cbt	Clostridium botulinum E3
cbf	Clostridium botulinum F Langeland
cbm	Clostridium botulinum F 230613
cbj	Clostridium botulinum H04402 065
cbe	Clostridium beijerinckii NCIMB 8052
cbz	Clostridium beijerinckii ATCC 35702
ckl	Clostridium kluyveri DSM 555
ckr	Clostridium kluyveri NBRC 12016
clj	Clostridium ljungdahlii
ccb	Clostridium cellulovorans
cls	Clostridium sp. SY8519
clb	Clostridium sp. BNL1100
csr	Clostridium saccharoperbutylacetonicum
cpas	Clostridium pasteurianum BC1
cpat	Clostridium pasteurianum DSM 525 = ATCC 6013
cpae	Clostridium pasteurianum DSM 525 = ATCC 6013
csb	Clostridium saccharobutylicum
cah	Clostridium autoethanogenum
clt	Clostridium sp. M2/40
cbv	Clostridium baratii
csq	Clostridium scatologenes
cld	Clostridium sporogenes
cace	Clostridium aceticum
cck	Clostridium carboxidivorans
amt	Alkaliphilus metalliredigens
aoe	Alkaliphilus oremlandii
asf	Candidatus Arthromitus sp. SFB-mouse-Japan
asm	Candidatus Arthromitus sp. SFB-mouse-Yit
aso	Candidatus Arthromitus sp. SFB-mouse-NL
asb	Candidatus Arthromitus sp. SFB-rat-Yit
cth	Ruminiclostridium thermocellum ATCC 27405
ctx	Ruminiclostridium thermocellum DSM 1313
cce	Clostridium cellulolyticum
ccl	Clostridium clariflavum
esr	Eubacterium siraeum V10Sc8a
esu	Eubacterium siraeum 70/3
css	Clostridium stercorarium subsp. stercorarium DSM 8532
csd	Clostridium stercorarium subsp. stercorarium DSM 8532
ccel	Clostridium cellulosi
eha	Ethanoligenens harbinense
ral	Ruminococcus albus
rbr	Ruminococcus bromii
rch	Ruminococcus champanellensis
rum	Ruminococcus sp. SR1/5
rus	Ruminococcus sp. 80/3
fpr	Faecalibacterium prausnitzii L2-6
fpa	Faecalibacterium prausnitzii SL3/3
clo	Mageeibacillus indolicus
bpb	Butyrivibrio proteoclasticus
bfi	Butyrivibrio fibrisolvens
cle	Clostridium lentocellum
rho	Roseburia hominis
rix	Roseburia intestinalis XB6B4
rim	Roseburia intestinalis M50/1
coo	Coprococcus sp. ART55/1
cct	Coprococcus catus
rob	Ruminococcus obeum
rto	Ruminococcus torques
cpy	Lachnoclostridium phytofermentans
csh	Clostridium saccharolyticum WM1
cso	Clostridium cf. saccharolyticum K10
bprl	Anaerostipes hadrus
hsd	Herbinix sp. SD1D
ere	Agathobacter rectalis ATCC 33656
ert	Agathobacter rectalis DSM 17629
era	Agathobacter rectalis M104/1
cad	Clostridium acidurici
cdf	Peptoclostridium difficile 630
pdc	Peptoclostridium difficile 630
cdc	Peptoclostridium difficile CD196
cdl	Peptoclostridium difficile R20291
cdg	Peptoclostridium difficile BI1
pdf	Peptoclostridium difficile 630Derm
cst	Clostridium sticklandii
faa	Filifactor alocis
sth	Symbiobacterium thermophilum
swo	Syntrophomonas wolfei
slp	Syntrophothermus lipocalidus
dsy	Desulfitobacterium hafniense Y51
dhd	Desulfitobacterium hafniense DCB-2
ddh	Desulfitobacterium dehalogenans
ddl	Desulfitobacterium dichloroeliminans
dmt	Desulfitobacterium metallireducens
drm	Desulfotomaculum reducens
dae	Desulfotomaculum acetoxidans
dca	Desulfotomaculum nigrificans
dku	Desulfotomaculum kuznetsovii
dru	Desulfotomaculum ruminis
dgi	Desulfotomaculum gibsoniae
pth	Pelotomaculum thermopropionicum
dau	Candidatus Desulforudis audaxviator
tjr	Thermincola potens
sgy	Syntrophobotulus glycolicus
dor	Desulfosporosinus orientis
dai	Desulfosporosinus acidiphilus
dmi	Desulfosporosinus meridiei
ded	Dehalobacter sp. DCA
dec	Dehalobacter sp. CF
drs	Dehalobacter restrictus
hmo	Heliobacterium modesticaldum
eel	Eubacterium eligens
elm	Eubacterium limosum
eac	Eubacterium acidaminophilum
awo	Acetobacterium woodii
ova	Oscillibacter valericigenes
tmr	Thermaerobacter marianensis
say	Sulfobacillus acidophilus TPY
sap	Sulfobacillus acidophilus DSM 10332
euu	Eubacterium sulci
bprm	Butyrate-producing bacterium SM4/1
bprs	Butyrate-producing bacterium SS3/4
tte	Thermoanaerobacter tengcongensis
tex	Thermoanaerobacter sp. X514
thx	Thermoanaerobacter sp. X513
tpd	Thermoanaerobacter pseudethanolicus
tit	Thermoanaerobacter italicus
tmt	Thermoanaerobacter mathranii
tbo	Thermoanaerobacter brockii
twi	Thermoanaerobacter wiegelii
tki	Thermoanaerobacter kivui
chy	Carboxydothermus hydrogenoformans
tep	Tepidanaerobacter acetatoxydans Re1
tae	Tepidanaerobacter acetatoxydans Re1
mta	Moorella thermoacetica
adg	Ammonifex degensii
tpz	Thermacetogenium phaeum
csc	Caldicellulosiruptor saccharolyticus
ate	Caldicellulosiruptor bescii
cob	Caldicellulosiruptor obsidiansis
chd	Caldicellulosiruptor hydrothermalis
cow	Caldicellulosiruptor owensensis
cki	Caldicellulosiruptor kristjanssonii
ckn	Caldicellulosiruptor kronotskyensis
clc	Caldicellulosiruptor lactoaceticus
toc	Thermosediminibacter oceani
ttm	Thermoanaerobacterium thermosaccharolyticum DSM 571
tto	Thermoanaerobacterium thermosaccharolyticum M0795
txy	Thermoanaerobacterium xylanolyticum
tsh	Thermoanaerobacterium saccharolyticum
cpo	Coprothermobacter proteolyticus
tnr	Thermodesulfobium narugense
mas	Mahella australiensis
nth	Natranaerobius thermophilus
hor	Halothermothrix orenii
has	Halanaerobium hydrogeniformans
hpk	Halanaerobium praevalens
aar	Acetohalobium arabaticum
hhl	Halobacteroides halobius
fma	Finegoldia magna
apr	Anaerococcus prevotii
pmic	Parvimonas micra
ped	Peptoniphilus sp. 1-1
vpr	Veillonella parvula
ssg	Selenomonas sputigena
sri	Selenomonas ruminantium
sele	Selenomonas sp. oral taxon 478
med	Megasphaera elsdenii
mhg	Megamonas hypermegale
puf	Pelosinus sp. UFO1
pft	Pelosinus fermentans
afn	Acidaminococcus fermentans
ain	Acidaminococcus intestini
erh	Erysipelothrix rhusiopathiae Fujisawa
ers	Erysipelothrix rhusiopathiae SY1027
euc	Faecalitalea cylindroides
mge	Mycoplasma genitalium G37
mgu	Mycoplasma genitalium M2288
mgc	Mycoplasma genitalium M2321
mgq	Mycoplasma genitalium M6282
mgx	Mycoplasma genitalium M6320
mpn	Mycoplasma pneumoniae M129
mpm	Mycoplasma pneumoniae 309
mpj	Mycoplasma pneumoniae FH
mpb	Mycoplasma pneumoniae M129-B7
mpu	Mycoplasma pulmonis
mpe	Mycoplasma penetrans
mga	Mycoplasma gallisepticum R(low)
mgh	Mycoplasma gallisepticum R(high)
mgf	Mycoplasma gallisepticum F
mgn	Mycoplasma gallisepticum NC06_2006.080-5-2P
mgs	Mycoplasma gallisepticum NC95_13295-2-2P
mgt	Mycoplasma gallisepticum NY01_2001.047-5-1P
mgv	Mycoplasma gallisepticum VA94_7994-1-7P
mgw	Mycoplasma gallisepticum WI01_2001.043-13-2P
mgac	Mycoplasma gallisepticum CA06_2006.052-5-2P
mgan	Mycoplasma gallisepticum NC08_2008.031-4-3P
mgnc	Mycoplasma gallisepticum NC96_1596-4-2P
